80;s;1991 Bruxelles (BEL);Anastasia ;Kasentseva;;Russian Federation;Rythmic Gymnastics;Clubs;bronze;Point;9400;3
81;s;1991 Bruxelles (BEL);Zornitza;Kalenska;;Bulgaria ;Rythmic Gymnastics;Ribbon;gold;Point;9550;1
82;s;1991 Bruxelles (BEL);Diana ;Popova;;Bulgaria ;Rythmic Gymnastics;Ribbon;silver;Point;9450;2
83;s;1991 Bruxelles (BEL);Irina;Deleanu;;Bulgaria ;Rythmic Gymnastics;Ribbon;bronze;Point;9425;3
84;s;1991 Bruxelles (BEL);Anastasia ;Kasentseva;;Russian Federation;Rythmic Gymnastics;Hoop;gold;Point;9500;1
85;s;1991 Bruxelles (BEL);Zornitza;Kalenska;;Bulgaria ;Rythmic Gymnastics;Hoop;gold;Point;9500;1
86;s;1991 Bruxelles (BEL);Maria;Petrova;;Bulgaria ;Rythmic Gymnastics;Hoop;bronze;Point;9400;3
87;s;1991 Bruxelles (BEL);;;;Netherlands;Hockey;;gold;;10;1
88;s;1991 Bruxelles (BEL);;;;Spain;Hockey;;silver;;7;2
89;s;1991 Bruxelles (BEL);;;;Ireland;Hockey;;bronze;;5;3
90;s;1991 Bruxelles (BEL);M. ;Giusti;;Italy;Judo;-44kg (girl);gold;;;1
91;s;1991 Bruxelles (BEL);E. ;Callejo;;Spain;Judo;-44kg (girl);silver;;;2
92;s;1991 Bruxelles (BEL);C. ;Morisson;;France;Judo;-44kg (girl);bronze;;;3
93;s;1991 Bruxelles (BEL);E. ;Smith;;Great Britain;Judo;-44kg (girl);bronze;;;3
94;s;1991 Bruxelles (BEL);S. ;Hohnsbein;;Germany;Judo;-45kg (boys);gold;;;1
95;s;1991 Bruxelles (BEL);D. ;Millington;;Great Britain;Judo;-45kg (boys);silver;;;2
96;s;1991 Bruxelles (BEL);C. ;Taymans;;Belgium;Judo;-45kg (boys);bronze;;;3
97;s;1991 Bruxelles (BEL);M.;Campioni;;Italy;Judo;-45kg (boys);bronze;;;3
98;s;1991 Bruxelles (BEL);D. ;Allan;;Great Britain;Judo;-48kg (girl);gold;;;1
99;s;1991 Bruxelles (BEL);Beata;Kucharzewska;;Poland;Judo;-48kg (girl);silver;;;2
100;s;1991 Bruxelles (BEL);I. ;Sokolovskaya;;Russian Federation;Judo;-48kg (girl);bronze;;;3
101;s;1991 Bruxelles (BEL);C.;Dinu;;Romania;Judo;-48kg (girl);bronze;;;3
102;s;1991 Bruxelles (BEL);I. ;Mikkonen;;Finland;Judo;-50kg (boys);gold;;;1
103;s;1991 Bruxelles (BEL);P. ;Van Kalken;;Netherlands;Judo;-50kg (boys);silver;;;2
104;s;1991 Bruxelles (BEL);C. ;Gondolo;;France;Judo;-50kg (boys);bronze;;;3
105;s;;Ewa;Krauze;;Poland;Judo;-52kg (girl);gold;;;1
106;s;1991 Bruxelles (BEL);V.;Curca;;Romania;Judo;-50kg (boys);bronze;;;3
107;s;1991 Bruxelles (BEL);L.E.;Krauze;;Poland;Judo;-52kg (girl);gold;;;1
108;s;1991 Bruxelles (BEL);I. ;Andreana;;Bulgaria;Judo;-52kg (girl);silver;;;2
109;s;1991 Bruxelles (BEL);K. ;Roberts;;Great Britain;Judo;-52kg (girl);bronze;;;3
110;s;1991 Bruxelles (BEL);C.;Verdickt;;Belgium;Judo;-52kg (girl);bronze;;;3
111;s;1991 Bruxelles (BEL);O.;Soultanov;;Russian Federation;Judo;-55kg (boys);gold;;;1
112;s;1991 Bruxelles (BEL);J. ;Saltner;;Great Britain;Judo;-55kg (boys);silver;;;2
113;s;1991 Bruxelles (BEL);C.;Bocsa;;Romania;Judo;-55kg (boys);bronze;;;3
114;s;1991 Bruxelles (BEL);P. ;Luukkainen;;Finland;Judo;-55kg (boys);bronze;;;3
115;s;1991 Bruxelles (BEL);M. ;Janssen;;Netherlands;Judo;-56Kg (girl);gold;;;1
116;s;1991 Bruxelles (BEL);M. ;Stiller;;Germany;Judo;-56Kg (girl);silver;;;2
117;s;1991 Bruxelles (BEL);N. ;Hurst;;Great Britain;Judo;-56Kg (girl);bronze;;;3
118;s;1991 Bruxelles (BEL);V.;Bellon;;Belgium;Judo;-56Kg (girl);bronze;;;3
119;s;1991 Bruxelles (BEL);V.;Asanov;;Russian Federation;Judo;-60kg (boys);gold;;;1
120;s;1991 Bruxelles (BEL);T. ;Peersmans;;Belgium;Judo;-60kg (boys);silver;;;2
121;s;1991 Bruxelles (BEL);L. ;Delacotte;;France;Judo;-60kg (boys);bronze;;;3
122;s;1991 Bruxelles (BEL);D. ;Somerville;;Great Britain;Judo;-60kg (boys);bronze;;;3
123;s;1991 Bruxelles (BEL);S. ;Alvarez;;Spain;Judo;-61Kg (girl);gold;;;1
124;s;1991 Bruxelles (BEL);I. ;Tokarz;;Poland;Judo;-61Kg (girl);silver;;;2
125;s;1991 Bruxelles (BEL);N. ;Snoeck;;Belgium;Judo;-61Kg (girl);bronze;;;3
126;s;1991 Bruxelles (BEL);A.;Cavalleri;;Portugal;Judo;-61Kg (girl);bronze;;;3
127;s;1991 Bruxelles (BEL);N. ;Savu;;Romania;Judo;-65kg (boys);gold;;;1
128;s;1991 Bruxelles (BEL);M. ;Dell'Endice;;Italy;Judo;-65kg (boys);silver;;;2
129;s;1991 Bruxelles (BEL);M.;Gabarov;;Russian Federation;Judo;-65kg (boys);bronze;;;3
130;s;1991 Bruxelles (BEL);K. ;Konz;;Germany;Judo;-65kg (boys);bronze;;;3
131;s;1991 Bruxelles (BEL);Y. ;Scapin;;Italy;Judo;-66Kg (girl);gold;;;1
132;s;1991 Bruxelles (BEL);V.;Bratu;;Romania;Judo;-66Kg (girl);silver;;;2
133;s;1991 Bruxelles (BEL);U. ;Martin;;Spain;Judo;-66Kg (girl);bronze;;;3
134;s;1991 Bruxelles (BEL);B.A.;Wilkis;;Great Britain;Judo;-66Kg (girl);bronze;;;3
135;s;1991 Bruxelles (BEL);C. ;Leprete;;France;Judo;-71kg (boys);gold;;;1
136;s;1991 Bruxelles (BEL);L. ;Harron;;Great Britain;Judo;-71kg (boys);silver;;;2
137;s;1991 Bruxelles (BEL);E. ;Dzoutsev;;Russian Federation;Judo;-71kg (boys);bronze;;;3
138;s;1991 Bruxelles (BEL);J.P.;Bingen;;Netherlands;Judo;-71kg (boys);bronze;;;3
139;s;1991 Bruxelles (BEL);O.;Kovalenko;;Russian Federation;Judo;+66Kg (girl);gold;;;1
140;s;1991 Bruxelles (BEL);E. ;San Miguel;;Spain;Judo;+66Kg (girl);silver;;;2
141;s;1991 Bruxelles (BEL);S. ;Smith;;Great Britain;Judo;+66Kg (girl);bronze;;;3
142;s;1991 Bruxelles (BEL);A.;Grigoras;;Romania;Judo;+66Kg (girl);bronze;;;3
143;s;1991 Bruxelles (BEL);D. ;Morozov;;Russian Federation;Judo;-78kg (boys);gold;;;1
